source_id,title,organization,source_type,landing_url,pdf_url,priority_tier,ingestion_method,status,last_reviewed
sebi-sebi-circular,SEBI circular on Regulatory framework for Specialized Investment Funds - NSDL,SEBI,SEBI Circular,https://nsdl.co.in/downloadables/pdf/2025-0029-Policy-SEBI_CIrcular_on__Regulatory_framework_for_Specialized_Investment_Funds_(SIF).pdf,https://nsdl.co.in/downloadables/pdf/2025-0029-Policy-SEBI_CIrcular_on__Regulatory_framework_for_Specialized_Investment_Funds_(SIF).pdf,1,direct_download,active,2026-06-04
sebi-sebi-circular-1,Regulatory framework for Specialized Investment Funds ('SIF') - SEBI,SEBI,SEBI Circular,https://www.sebi.gov.in/legal/circulars/feb-2025/regulatory-framework-for-specialized-investment-funds-sif-_92299.html,,1,playwright_scrape,active,2026-06-04
sbi-mutual-fund-amc-website,Magnum SIF - Specialized Investment Fund Offered by SBI Mutual ...,SBI Mutual Fund,AMC Website,https://www.sbimf.com/magnumsif,,5,playwright_scrape,active,2026-06-04
mirae-asset-mutual-fund-amc-website,Platinum SIF: Home,Mirae Asset Mutual Fund,AMC Website,https://platinumsif.miraeassetmf.co.in/,,5,playwright_scrape,active,2026-06-04
sebi-sebi-circular-2,SEBI Introduces A New Asset Class: SIFs (Specialized Investment Funds),SEBI,SEBI Circular,https://blog.thealtinvestor.in/understanding-sebis-new-asset-class-sifs-specialized-investment-funds,,1,playwright_scrape,active,2026-06-04
sebi-sebi-circular-3,"CIRCULAR SEBI/HO/IMD/IMD-RAC/P/CIR/2025/54 April 11, 2025 To, All Mutual Funds All Asset Management Companies (AMCs) All Trustee",SEBI,SEBI Circular,https://avantiscdnprodstorage.blob.core.windows.net/legalupdatedocs/41561/SEBI-issued-a-circular-regarding-the-Specialized-Investment-Funds--Application-and-Investment-Strategy-Information-Document-ISID-formats-April112025.pdf,https://avantiscdnprodstorage.blob.core.windows.net/legalupdatedocs/41561/SEBI-issued-a-circular-regarding-the-Specialized-Investment-Funds--Application-and-Investment-Strategy-Information-Document-ISID-formats-April112025.pdf,1,direct_download,active,2026-06-04
sebi-sebi-circular-4,SEBI Update - Regulatory framework for Specialized Investment Funds ('SIF'),SEBI,SEBI Circular,https://www.mehta-mehta.com/sebi-update-regulatory-framework-for-specialized-investment-funds-sif/,,1,playwright_scrape,active,2026-06-04
tata-mutual-fund-amc-website,Titanium SIF | Long-Short Strategies by Tata Mutual Fund,Tata Mutual Fund,AMC Website,https://www.tatamutualfund.com/titanium-sif,,5,playwright_scrape,active,2026-06-04
edelweiss-mutual-fund-amc-website,Altiva SIF - Edelweiss Mutual Fund,Edelweiss Mutual Fund,AMC Website,https://www.edelweissmf.com/altivasif,,5,playwright_scrape,active,2026-06-04
icici-prudential-amc-factsheet,SIF INSIGHTS - ICICI Prudential AMC,ICICI Prudential AMC,Factsheet,https://www.icicipruamc.com/blob/sebi-repo/Advertisements/2026/April/Filing%20date%2017-04-2026/Release%20date%2014-04-2026/Advertisements/Annexure%206%20-%20iSIF%20Factsheet.PDF,https://www.icicipruamc.com/blob/sebi-repo/Advertisements/2026/April/Filing%20date%2017-04-2026/Release%20date%2014-04-2026/Advertisements/Annexure%206%20-%20iSIF%20Factsheet.PDF,4,direct_download,active,2026-06-04
